SLOT_ID,CHIP_ID,CHIP_TYPE,CORE_ID,CORE_TYPE,CORE_LANE,LANE_SPEED(mbps),MEDIA_TYPE,TCVR_VENDOR,NIC_VENDOR,CABLE_LENGTH(m),TX_PRE3,TX_PRE2,TX_PRE1,TX_MAIN,TX_POST1,TX_POST2,TX_POST3,TX_DRIVE_CURRENT,RX_CTLE_CODE,RX_DSP_MODE,RX_AFE_TRIM
1,1,NPU,0,CHENAB2_NIF,0,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,1,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,2,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,3,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,4,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,5,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,6,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,7,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,8,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,9,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,10,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,11,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,12,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,13,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,14,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,15,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,16,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,17,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,18,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,19,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,20,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,21,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,22,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,23,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,24,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,25,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,26,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,27,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,28,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,29,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,30,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,31,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,32,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,33,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB2_NIF,34,200000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
